epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7417,1.57553,5.71058,1.84096,0.79931,0.16111,0.17808,0.12624,1.17517,7.29671,1.57633,5.831e-05,5.831e-05,5.831e-05
2,133.66,1.27465,3.41095,1.51405,0.30991,0.37569,0.3751,0.30862,0.85172,26.8747,1.29561,0.000122888,0.000122888,0.000122888
3,199.969,1.12209,2.20032,1.36641,0.81156,0.39374,0.49519,0.36715,1.0204,9.21668,1.36002,0.000185268,0.000185268,0.000185268
4,266.723,1.10483,2.04049,1.33261,0.67598,0.58791,0.61613,0.48076,1.0234,4.25151,1.32612,0.000245448,0.000245448,0.000245448
5,332.382,1.03584,1.62644,1.24777,0.84515,0.42241,0.47202,0.3189,1.36295,4.99455,1.69137,0.000303429,0.000303429,0.000303429
6,397.935,1.04437,1.43852,1.31177,0.8683,0.45823,0.56155,0.35527,1.44921,4.89241,1.77704,0.00035921,0.00035921,0.00035921
7,463.471,1.06696,1.40991,1.26425,0.62107,0.678,0.67669,0.44196,1.42713,3.80971,1.88253,0.000412793,0.000412793,0.000412793
8,528.5,1.18307,1.39536,1.40356,0.64091,0.78403,0.80374,0.57493,1.17643,2.58527,1.58078,0.000464177,0.000464177,0.000464177
9,592.017,1.09532,1.14792,1.28703,0.72996,0.64199,0.7461,0.48827,1.35343,2.64859,1.64022,0.000513361,0.000513361,0.000513361
10,654.172,1.07206,1.20008,1.27695,0.56944,0.60625,0.62149,0.38808,1.68761,3.04827,1.94749,0.000560347,0.000560347,0.000560347
11,716.083,1.0539,1.19907,1.28285,0.41773,0.47681,0.57872,0.31626,1.57879,2.94149,2.08524,0.000605133,0.000605133,0.000605133
12,777.112,1.12864,1.29746,1.33047,0.69056,0.48154,0.55615,0.30814,1.5729,3.38858,2.17762,0.00064772,0.00064772,0.00064772
13,838.559,1.14112,1.27569,1.37885,0.55779,0.66553,0.6213,0.36144,1.67755,2.84412,2.29304,0.000668066,0.000668066,0.000668066
14,902.814,1.17689,1.15282,1.36052,0.60239,0.45764,0.55893,0.32433,1.69305,3.01713,2.27611,0.000654321,0.000654321,0.000654321
15,970.475,1.04018,1.10045,1.30841,0.59059,0.3613,0.39192,0.24398,2.00557,3.07083,2.56744,0.000640577,0.000640577,0.000640577
16,1042.65,1.09861,1.05603,1.28861,0.3586,0.36464,0.30915,0.1932,2.26397,2.92787,2.89672,0.000626832,0.000626832,0.000626832
17,1113,1.10747,1.00959,1.30076,0.53711,0.40273,0.44717,0.25375,1.9255,2.62805,2.39122,0.000613088,0.000613088,0.000613088
18,1174.95,1.03142,0.94072,1.22816,0.72393,0.61365,0.70791,0.43145,1.72477,1.65895,2.32705,0.000599343,0.000599343,0.000599343
19,1236.49,1.05769,0.88741,1.27369,0.5719,0.71485,0.65448,0.4429,1.43505,1.94284,1.86931,0.000585599,0.000585599,0.000585599
20,1298.07,0.96776,0.82852,1.20018,0.76612,0.66216,0.79717,0.52094,1.30851,1.50451,1.68992,0.000571854,0.000571854,0.000571854
21,1359.6,0.93368,0.78319,1.18522,0.5135,0.64919,0.65447,0.42565,1.40522,1.70655,1.7308,0.00055811,0.00055811,0.00055811
22,1420.03,1.01319,0.88045,1.23465,0.71332,0.52791,0.63424,0.37621,1.62906,1.7559,2.09733,0.000544365,0.000544365,0.000544365
23,1480.39,0.95175,0.83267,1.219,0.73088,0.66442,0.71231,0.40467,1.57027,1.46859,2.07909,0.000530621,0.000530621,0.000530621
24,1540.74,0.90161,0.79332,1.19684,0.82117,0.678,0.82867,0.49474,1.31212,1.46456,1.73783,0.000516877,0.000516877,0.000516877
25,1601.31,0.94898,0.76843,1.20855,0.9141,0.62333,0.86954,0.57517,1.22705,1.19545,1.61286,0.000503132,0.000503132,0.000503132
26,1663.11,0.95347,0.79112,1.21163,0.74064,0.81505,0.87614,0.59837,1.15355,1.1696,1.55982,0.000489387,0.000489387,0.000489387
27,1725.76,0.93447,0.72168,1.18903,0.85228,0.72661,0.82113,0.59235,1.2349,1.22559,1.6838,0.000475643,0.000475643,0.000475643
28,1790.19,0.99913,0.72675,1.20729,0.79116,0.64081,0.72645,0.49426,1.34397,1.51251,1.85617,0.000461898,0.000461898,0.000461898
29,1852.97,1.00037,0.70723,1.25734,0.5435,0.70258,0.74207,0.53323,1.13552,1.37952,1.5948,0.000448154,0.000448154,0.000448154
30,1915.06,0.87806,0.68843,1.18388,0.73531,0.75516,0.80407,0.59098,1.12283,1.11619,1.55317,0.000434409,0.000434409,0.000434409
31,1981.14,0.92764,0.6758,1.22878,0.71657,0.87906,0.90044,0.62571,1.11117,0.98238,1.53505,0.000420665,0.000420665,0.000420665
32,2045.36,0.80043,0.61425,1.12281,0.7502,0.82764,0.85427,0.60865,1.12121,1.04738,1.52241,0.00040692,0.00040692,0.00040692
33,2107.54,0.89204,0.6916,1.19187,0.88169,0.78533,0.88511,0.58393,1.27336,1.06168,1.65384,0.000393176,0.000393176,0.000393176
34,2168.35,0.88951,0.65573,1.17077,0.82652,0.83466,0.91736,0.6318,1.23785,1.02934,1.5995,0.000379431,0.000379431,0.000379431
35,2230.4,0.87345,0.63018,1.19171,0.77343,0.76262,0.84003,0.57576,1.27594,1.08124,1.59763,0.000365687,0.000365687,0.000365687
36,2295.53,0.88629,0.64685,1.21216,0.66139,0.80818,0.83319,0.58578,1.16715,1.04834,1.53595,0.000351942,0.000351942,0.000351942
37,2359.08,0.81025,0.65379,1.12111,0.89067,0.80832,0.88841,0.5939,1.14565,0.89752,1.57252,0.000338198,0.000338198,0.000338198
38,2422.27,0.78091,0.63496,1.13079,0.80235,0.78278,0.83446,0.57575,1.18432,0.95656,1.59258,0.000324453,0.000324453,0.000324453
39,2486.1,0.80869,0.61516,1.13653,0.74708,0.81957,0.7876,0.52837,1.25412,1.04223,1.60514,0.000310709,0.000310709,0.000310709
40,2548.02,0.80482,0.62162,1.12021,0.84277,0.80531,0.85523,0.56762,1.26788,1.01602,1.63679,0.000296964,0.000296964,0.000296964
41,2610.49,0.77207,0.56254,1.10566,0.8089,0.82765,0.88645,0.61323,1.20195,0.84397,1.58266,0.00028322,0.00028322,0.00028322
42,2675.12,0.76903,0.55694,1.13343,0.87547,0.81629,0.87784,0.64673,1.13619,0.78568,1.50761,0.000269475,0.000269475,0.000269475
43,2738.29,0.79147,0.5908,1.13599,0.87114,0.83778,0.87833,0.65158,1.12457,0.78556,1.46457,0.000255731,0.000255731,0.000255731
44,2800.75,0.75889,0.56821,1.07564,0.89747,0.87351,0.9141,0.62748,1.14723,0.78546,1.48335,0.000241986,0.000241986,0.000241986
45,2863.89,0.75672,0.54737,1.1218,0.88336,0.87394,0.92323,0.65806,1.14334,0.76321,1.45378,0.000228242,0.000228242,0.000228242
